IP地址	端口	回源端口	TLS	数据中心	地区	城市	TCP延迟(ms)	速度(MB/s)
8.219.74.35	2052	2052	FALSE	SIN	Asia Pacific	Singapore	21	8.74
8.219.134.117	80	80	FALSE	SIN	Asia Pacific	Singapore	30	8.74
47.236.65.177	2053	2053	TRUE	SIN	Asia Pacific	Singapore	94	8.74
47.76.77.103	2087	2087	TRUE	HKG	Asia Pacific	Hong Kong	77	8.74
8.209.255.195	2052	2052	FALSE	HKG	Asia Pacific	Hong Kong	168	8.74
8.219.6.187	2095	2095	FALSE	SIN	Asia Pacific	Singapore	3	8.73
8.210.245.224	2096	2096	TRUE	HKG	Asia Pacific	Hong Kong	54	8.73
8.222.154.50	8443	8443	TRUE	SIN	Asia Pacific	Singapore	81	8.73
8.222.175.78	2083	2083	TRUE	SIN	Asia Pacific	Singapore	60	8.73
8.219.174.142	8443	8443	TRUE	SIN	Asia Pacific	Singapore	28	8.73
47.236.119.253	2086	2086	FALSE	SIN	Asia Pacific	Singapore	24	8.72
8.209.214.157	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	104	8.72
8.210.119.11	2095	2095	FALSE	HKG	Asia Pacific	Hong Kong	40	8.72
8.219.178.225	2082	2082	FALSE	SIN	Asia Pacific	Singapore	11	8.72
47.245.52.153	80	80	FALSE	NRT	Asia Pacific	Tokyo	85	8.71
8.219.174.142	2096	2096	TRUE	SIN	Asia Pacific	Singapore	45	8.71
47.245.114.163	80	80	FALSE	SIN	Asia Pacific	Singapore	17	8.71
8.219.84.102	2083	2083	TRUE	SIN	Asia Pacific	Singapore	160	8.71
47.74.54.33	80	80	FALSE	NRT	Asia Pacific	Tokyo	96	8.7
47.74.46.84	2086	2086	FALSE	HKG	Asia Pacific	Hong Kong	166	8.7
8.219.157.97	2083	2083	TRUE	HKG	Asia Pacific	Hong Kong	139	8.7
8.219.60.130	8443	8443	TRUE	SIN	Asia Pacific	Singapore	54	8.7
47.74.14.85	2082	2082	FALSE	NRT	Asia Pacific	Tokyo	72	8.7
8.222.248.188	2087	2087	TRUE	SIN	Asia Pacific	Singapore	109	8.7
47.74.34.135	8880	8880	FALSE	NRT	Asia Pacific	Tokyo	74	8.7
47.242.79.71	2087	2087	TRUE	HKG	Asia Pacific	Hong Kong	101	8.69
8.219.106.15	2083	2083	TRUE	SIN	Asia Pacific	Singapore	59	8.69
8.219.13.143	80	80	FALSE	SIN	Asia Pacific	Singapore	5	8.69
47.245.52.153	8880	8880	FALSE	NRT	Asia Pacific	Tokyo	82	8.68
47.74.11.219	2086	2086	FALSE	NRT	Asia Pacific	Tokyo	77	8.68
8.219.124.227	443	443	TRUE	HKG	Asia Pacific	Hong Kong	61	8.68
47.245.84.155	8080	8080	FALSE	SIN	Asia Pacific	Singapore	6	8.68
8.219.253.18	2052	2052	FALSE	SIN	Asia Pacific	Singapore	14	8.67
8.222.254.91	2083	2083	TRUE	SIN	Asia Pacific	Singapore	64	8.67
8.222.227.191	2053	2053	TRUE	SIN	Asia Pacific	Singapore	107	8.67
47.74.13.200	8080	8080	FALSE	LAX	North America	Los Angeles	180	8.67
8.222.130.137	2052	2052	FALSE	SIN	Asia Pacific	Singapore	18	8.67
47.245.58.175	80	80	FALSE	LAX	North America	Los Angeles	183	8.67
8.218.243.95	2096	2096	TRUE	HKG	Asia Pacific	Hong Kong	101	8.66
8.219.178.101	80	80	FALSE	SIN	Asia Pacific	Singapore	13	8.66
8.222.144.219	2096	2096	TRUE	SIN	Asia Pacific	Singapore	110	8.66
8.219.157.97	2052	2052	FALSE	SIN	Asia Pacific	Singapore	17	8.66
8.219.122.55	2053	2053	TRUE	SIN	Asia Pacific	Singapore	72	8.66
8.219.159.232	2095	2095	FALSE	SIN	Asia Pacific	Singapore	32	8.65
8.210.39.96	80	80	FALSE	HKG	Asia Pacific	Hong Kong	36	8.65
8.218.18.132	2053	2053	TRUE	HKG	Asia Pacific	Hong Kong	105	8.65
8.222.137.192	443	443	TRUE	SIN	Asia Pacific	Singapore	78	8.65
47.74.9.174	2095	2095	FALSE	HKG	Asia Pacific	Hong Kong	166	8.65
47.74.52.104	8880	8880	FALSE	LAX	North America	Los Angeles	185	8.64
47.245.54.197	2086	2086	FALSE	HKG	Asia Pacific	Hong Kong	173	8.64
8.219.129.38	2052	2052	FALSE	SIN	Asia Pacific	Singapore	15	8.64
47.74.7.51	2052	2052	FALSE	NRT	Asia Pacific	Tokyo	78	8.63
8.222.129.245	8443	8443	TRUE	SIN	Asia Pacific	Singapore	122	8.63
47.245.59.188	2053	2053	TRUE	NRT	Asia Pacific	Tokyo	229	8.63
8.219.77.91	80	80	FALSE	SIN	Asia Pacific	Singapore	16	8.63
47.74.27.151	8443	8443	TRUE	HKG	Asia Pacific	Hong Kong	260	8.62
8.219.178.101	2052	2052	FALSE	SIN	Asia Pacific	Singapore	15	8.62
8.219.106.156	2083	2083	TRUE	SIN	Asia Pacific	Singapore	95	8.62
8.219.137.50	443	443	TRUE	SIN	Asia Pacific	Singapore	141	8.62
8.219.83.201	2086	2086	FALSE	SIN	Asia Pacific	Singapore	38	8.62
8.219.83.201	2053	2053	TRUE	SIN	Asia Pacific	Singapore	207	8.61
